month,northward_wind_at_10_metres,northward_wind_stress,sea_surface_temperature,EBUS,Region
1,5.931729733135353,0.007533241132003756,290.0380565135341,Humboldt,Poleward
2,5.764442811784035,0.00726322247152806,290.5406405346442,Humboldt,Poleward
3,5.4363543312717955,0.006852006809765985,290.1832532539545,Humboldt,Poleward
4,4.2860194022147144,0.0053401368080787754,289.10630515745135,Humboldt,Poleward
5,2.4591523914287277,0.003023385387684492,288.1274878927394,Humboldt,Poleward
6,2.0002449694968556,0.002598548267909995,287.0657393127837,Humboldt,Poleward
7,2.381581009562991,0.0030887645196784044,286.15992505854155,Humboldt,Poleward
8,2.315344927210477,0.0029979438571754845,285.68417301095326,Humboldt,Poleward
9,4.154066651856936,0.005351250184924165,285.77044412172097,Humboldt,Poleward
10,4.546231087438245,0.005809842922426292,286.33072761649964,Humboldt,Poleward
11,5.489333591403904,0.0070671994906992795,287.37255703019,Humboldt,Poleward
12,5.754377026345903,0.007290322388452576,288.6696755523154,Humboldt,Poleward
1,4.438370121348143,0.004523779290114264,294.9803469083312,Humboldt,Central
2,4.542621060831823,0.004629404791133083,295.71176103566773,Humboldt,Central
3,4.753559902173362,0.004940537085971434,295.0851626231308,Humboldt,Central
4,4.835315390788784,0.005129682117773324,293.6241327680266,Humboldt,Central
5,4.687904802888517,0.0050147609009066,291.98077901198195,Humboldt,Central
6,5.077216757236537,0.005693203011779806,290.51562482949277,Humboldt,Central
7,5.235057741808683,0.005971167480128947,289.3837975148436,Humboldt,Central
8,5.357553406814262,0.006152018398112958,288.80145716650344,Humboldt,Central
9,5.6273299737126585,0.006457216705468657,288.9299819306083,Humboldt,Central
10,5.535100251699127,0.006234909880144292,289.6655045232193,Humboldt,Central
11,5.146774422251704,0.005571468928175641,291.2055964546437,Humboldt,Central
12,4.913306618038649,0.00515834914887423,293.05522188258755,Humboldt,Central
1,4.715407603067728,0.004771621368669856,295.55614103455974,Humboldt,Equatorward
2,4.392341684949164,0.00434777135678578,296.4848295836268,Humboldt,Equatorward
3,4.6274168452441335,0.004639177716264205,295.9532662256519,Humboldt,Equatorward
4,5.260294429157931,0.005533699719032499,294.3215823848509,Humboldt,Equatorward
5,5.660561813691925,0.006127872701553958,292.83238890356074,Humboldt,Equatorward
6,5.961514759190344,0.006634567180903923,291.725009241507,Humboldt,Equatorward
7,6.271586647583182,0.00714836608315439,290.7519251992511,Humboldt,Equatorward
8,6.318224055018765,0.00721564794748812,289.98813556911097,Humboldt,Equatorward
9,6.32061599187631,0.007202673092905365,289.8460274671636,Humboldt,Equatorward
10,6.139373399142828,0.006849583419442732,290.3712864792676,Humboldt,Equatorward
11,5.748282328245108,0.006199334122078361,291.75264196729677,Humboldt,Equatorward
12,5.373328213760398,0.005649168944779228,293.60798257733865,Humboldt,Equatorward
1,-5.322560501618582,-0.00580912406945886,293.5292137570044,Iberian-Canary,Equatorward
2,-6.369238380624986,-0.0074256070321161004,292.5871088987992,Iberian-Canary,Equatorward
3,-6.925774993965811,-0.008272780771547073,292.6703854815194,Iberian-Canary,Equatorward
4,-7.741207498899648,-0.009600799929655466,292.8386097051056,Iberian-Canary,Equatorward
5,-7.59837013948294,-0.009469962314455193,293.4782726305751,Iberian-Canary,Equatorward
6,-6.353587437453669,-0.007736814642838232,294.9920372618196,Iberian-Canary,Equatorward
7,-4.270041967192943,-0.004927642137491011,297.49917819670037,Iberian-Canary,Equatorward
8,-3.437859640622633,-0.0038486987067937136,299.3797866500076,Iberian-Canary,Equatorward
9,-3.8726890160406886,-0.004415033326704149,300.22549607541083,Iberian-Canary,Equatorward
10,-5.7840012943926995,-0.006643693886296435,299.4516754931471,Iberian-Canary,Equatorward
11,-5.838748823234547,-0.006510581296153454,297.6328657142508,Iberian-Canary,Equatorward
12,-5.151881646481713,-0.005507465982147286,295.46457366827815,Iberian-Canary,Equatorward
1,-4.0084249529900955,-0.0043738941412059034,292.16520584428514,Iberian-Canary,Central
2,-4.71462793377142,-0.005424781729377563,291.57204911858247,Iberian-Canary,Central
3,-5.431543718798004,-0.006298845242157968,291.63890412653075,Iberian-Canary,Central
4,-5.802524202928298,-0.006786052017687948,292.23886792695475,Iberian-Canary,Central
5,-6.477874536341016,-0.007664609166379268,292.9019812616155,Iberian-Canary,Central
6,-6.825921597276237,-0.008162694489566798,293.61678080810213,Iberian-Canary,Central
7,-7.492871771379575,-0.009289762956339303,294.13098066424396,Iberian-Canary,Central
8,-6.900302502118757,-0.008240094326368698,295.11028458117613,Iberian-Canary,Central
9,-5.886521940852491,-0.006674031531300161,295.67106492198224,Iberian-Canary,Central
10,-4.525662638960617,-0.004920276560560521,295.69702716381255,Iberian-Canary,Central
11,-4.224966966851395,-0.004586396643937941,294.6328339977709,Iberian-Canary,Central
12,-3.1823120058994125,-0.0034352598942756067,293.3196873198032,Iberian-Canary,Central
1,-1.7549761784754225,-0.002228231086478449,288.04588400057605,Iberian-Canary,Poleward
2,-1.8213083683365587,-0.0023302731644704606,287.4196673746961,Iberian-Canary,Poleward
3,-2.27304583093318,-0.002858168754235572,287.36079964717743,Iberian-Canary,Poleward
4,-2.476891443452381,-0.003008449891196611,288.00440116567466,Iberian-Canary,Poleward
5,-3.5750220754128264,-0.0044653405974665475,289.2983695756528,Iberian-Canary,Poleward
6,-4.204125848475355,-0.005198809900227299,291.0771856623574,Iberian-Canary,Poleward
7,-5.330119455645161,-0.00663708696036587,292.28824599174345,Iberian-Canary,Poleward
8,-5.072340497791859,-0.006290947484176227,293.06099272753454,Iberian-Canary,Poleward
9,-3.2952818080357145,-0.003949609824055312,293.1078583085318,Iberian-Canary,Poleward
10,-0.9504263272849461,-0.0011186851237332198,292.30907454877115,Iberian-Canary,Poleward
11,-2.368179935515873,-0.0030925001526147917,290.59968311011903,Iberian-Canary,Poleward
12,-0.4835420626920122,-0.0005760347377830425,289.02340174971204,Iberian-Canary,Poleward
1,-2.8589045418906807,-0.0029496492553387627,288.61057824356277,California,Equatorward
2,-3.0512410922747337,-0.0031912554434674143,288.3175930943354,California,Equatorward
3,-3.734612861223119,-0.003984016872245821,288.2426093530855,California,Equatorward
4,-4.20786730324074,-0.004639174168905027,288.4600817539948,California,Equatorward
5,-4.085104096662186,-0.004447228500311616,289.018128163547,California,Equatorward
6,-3.722388901025278,-0.003986744560760575,289.7951822097875,California,Equatorward
7,-3.2514575772849463,-0.0032743616376725983,291.48460647835975,California,Equatorward
8,-3.685523535506272,-0.0037231775178787115,292.4987497527601,California,Equatorward
9,-3.6282192997685185,-0.003717512524450985,292.94595192888335,California,Equatorward
10,-3.3446074708781364,-0.0034292969209883044,292.28724750624843,California,Equatorward
11,-3.33798828125,-0.0034513035931022554,291.0032768371423,California,Equatorward
12,-3.1048492663530465,-0.0032570406222543072,289.4582559865771,California,Equatorward
1,-1.645571137571913,-0.001998599198943502,285.728957723358,California,Central
2,-3.268741798398884,-0.004332167703317742,285.40361416779916,California,Central
3,-3.1358607982758024,-0.0041469898993844205,285.3262156969129,California,Central
4,-4.8965887075371555,-0.006492320178586983,285.4321234739915,California,Central
5,-6.290312989585473,-0.00837780338067923,285.954545814499,California,Central
6,-6.95024007278221,-0.009494736014719072,286.7269398238283,California,Central
7,-6.741673033953154,-0.008869756943752064,287.78423639112907,California,Central
8,-6.255601820936922,-0.007901685144053646,288.84729914689063,California,Central
9,-5.62096637528751,-0.007099196431920236,289.1829740302106,California,Central
10,-4.594516602565749,-0.0058941443792251014,288.5269585826741,California,Central
11,-3.2559227375265394,-0.004067574260384384,287.6013840509996,California,Central
12,-1.9404742986353674,-0.002520870000599965,286.4436692852801,California,Central
1,2.1909395230880575,0.0028637059017389034,283.7002733290658,California,Poleward
2,-0.7060568546658359,-0.0008648898045173945,283.3923627619279,California,Poleward
3,0.6986737092002292,0.0008707972372115286,283.309964284005,California,Poleward
4,-1.497246119432117,-0.002032257119576381,283.8118476961754,California,Poleward
5,-3.56324807036171,-0.004584190855571202,285.2356717987221,California,Poleward
6,-4.584180506675515,-0.006111550271827369,286.9990970409077,California,Poleward
7,-6.325216388405071,-0.008522012590245156,288.38603566414605,California,Poleward
8,-5.5921473861901125,-0.007291780597773606,289.17883064516127,California,Poleward
9,-4.123115523298817,-0.005451207812531657,289.2185719069403,California,Poleward
10,-1.8277010089592478,-0.0023858434541812706,287.8254199770269,California,Poleward
11,0.5871801163913544,0.0007909416795380638,286.12995569568085,California,Poleward
12,0.9868783850687154,0.0013479459313988679,284.5646737450544,California,Poleward
1,6.683187940431973,0.008435048283507133,292.42415459557566,Benguela,Poleward
2,6.336506858200048,0.00774796604198125,292.5803514139928,Benguela,Poleward
3,5.7572123518113365,0.00695695993787494,292.0693094115985,Benguela,Poleward
4,4.686501695035926,0.005476997063499939,290.9003196047859,Benguela,Poleward
5,2.2534243055908894,0.002475725638675497,290.2257410130299,Benguela,Poleward
6,1.630674989953026,0.0017692535322646598,289.4671471662582,Benguela,Poleward
7,2.4045469036201284,0.0026816897806931873,288.7308997724899,Benguela,Poleward
8,2.617430188087243,0.0029557635089030696,288.5110217996627,Benguela,Poleward
9,4.0273531014502275,0.004748915582177659,288.73948659973786,Benguela,Poleward
10,5.422929055472168,0.0066075416571462495,289.46328702871375,Benguela,Poleward
11,5.9483675489616195,0.007416216640932863,290.3951731964349,Benguela,Poleward
12,6.118247464998644,0.007573104273593067,291.66818523774054,Benguela,Poleward
1,6.855065154358559,0.00853057708884334,291.95689419971933,Benguela,Central
2,6.723678931733349,0.008286950600212246,292.25672618301314,Benguela,Central
3,6.9628515149497865,0.008618540602682818,291.7653600132295,Benguela,Central
4,6.4259504662386435,0.007858675178221263,290.78363663412824,Benguela,Central
5,5.596969043754648,0.006629897762103851,289.9193080810002,Benguela,Central
6,5.085617050188225,0.006084219793534546,289.0306823082157,Benguela,Central
7,5.439785065112091,0.006587903353956503,288.3495857055606,Benguela,Central
8,6.049479853503076,0.007526841831834111,287.91633178108304,Benguela,Central
9,6.654178513714186,0.008502184939684887,287.8704198843412,Benguela,Central
10,7.172158531353554,0.009209562505945726,288.43582494468325,Benguela,Central
11,7.164233708944794,0.009170751553296974,289.53224277712263,Benguela,Central
12,6.903915694000643,0.008616013776535888,290.9246941992967,Benguela,Central
1,5.197586245519712,0.005645871968503928,294.40398320307315,Benguela,Equatorward
2,5.305266787912768,0.005842271682395958,295.3408080483051,Benguela,Equatorward
3,6.153402179207359,0.007059741694523801,295.1216248247295,Benguela,Equatorward
4,6.633558921593612,0.007879552873107884,294.0969454893261,Benguela,Equatorward
5,6.7467097380470875,0.008071656004229592,292.53561991300774,Benguela,Equatorward
6,6.214621324273466,0.007419830779834036,291.07265778550726,Benguela,Equatorward
7,5.8171510462908165,0.006981501484704816,290.13726844073574,Benguela,Equatorward
8,6.485726381901285,0.007977547458262492,289.38337798063515,Benguela,Equatorward
9,5.936557734985558,0.007130237859993711,289.3525349901406,Benguela,Equatorward
10,6.543160331068528,0.007878172232925262,290.37478240922235,Benguela,Equatorward
11,6.607455960117227,0.007899432530404581,291.8801071941444,Benguela,Equatorward
12,5.995846049743514,0.006793285964756243,293.0346084001228,Benguela,Equatorward
